Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
"$35,000 to $49,999",B08119_042,Transportation Mode: Walked,American Community Survey,acs/acs5,B08119_042,2022,2020,tract
"$50,000 to $64,999",B08119_043,Transportation Mode: Walked,American Community Survey,acs/acs5,B08119_043,2022,2020,tract
"$65,000 to $74,999",B08119_044,Transportation Mode: Walked,American Community Survey,acs/acs5,B08119_044,2022,2020,tract
"$75,000 or more",B08119_045,Transportation Mode: Walked,American Community Survey,acs/acs5,B08119_045,2022,2020,tract
Total,B08119_046,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_046,2022,2020,tract
"$1 to $9,999",B08119_047,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_047,2022,2020,tract
"$10,000 to $14,999",B08119_048,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_048,2022,2020,tract
"$15,000 to $24,999",B08119_049,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_049,2022,2020,tract
"$25,000 to $34,999",B08119_050,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_050,2022,2020,tract
"$35,000 to $49,999",B08119_051,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_051,2022,2020,tract
"$50,000 to $64,999",B08119_052,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_052,2022,2020,tract
"$65,000 to $74,999",B08119_053,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_053,2022,2020,tract
"$75,000 or more",B08119_054,"Transportation Mode: Taxicab, motorcycle, bicycle, or other means",American Community Survey,acs/acs5,B08119_054,2022,2020,tract
Total,B08119_055,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_055,2022,2020,tract
"$1 to $9,999",B08119_056,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_056,2022,2020,tract
"$10,000 to $14,999",B08119_057,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_057,2022,2020,tract
"$15,000 to $24,999",B08119_058,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_058,2022,2020,tract
"$25,000 to $34,999",B08119_059,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_059,2022,2020,tract
"$35,000 to $49,999",B08119_060,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_060,2022,2020,tract
"$50,000 to $64,999",B08119_061,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_061,2022,2020,tract
"$65,000 to $74,999",B08119_062,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_062,2022,2020,tract
"$75,000 or more",B08119_063,Transportation Mode: Worked from home,American Community Survey,acs/acs5,B08119_063,2022,2020,tract
