Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Median Gross Rent,B25063_001,Demographic,American Community Survey,acs/acs5,B25063_001,2020,2020,tract
Less than 10%,B25070_002,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_002,2020,2020,tract
10-14.9%,B25070_003,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_003,2020,2020,tract
15-19.9%,B25070_004,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_004,2020,2020,tract
20-24.9%,B25070_005,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_005,2020,2020,tract
25-29.9%,B25070_006,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_006,2020,2020,tract
30-34.9%,B25070_007,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_007,2020,2020,tract
35-39.9%,B25070_008,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_008,2020,2020,tract
40-49.9%,B25070_009,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_009,2020,2020,tract
Over 50%,B25070_010,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_010,2020,2020,tract
Not Computed,B25070_011,Gross Rent as Percentage of Household Income,American Community Survey,acs/acs5,B25070_011,2020,2020,tract
Total,B08008_001,Workers by Place of Work,American Community Survey,acs/acs5,B08008_001,2020,2020,tract
Living in a place,B08008_002,Workers by Place of Work,American Community Survey,acs/acs5,B08008_002,2020,2020,tract
Living in a place: Worked in place of residence,B08008_003,Workers by Place of Work,American Community Survey,acs/acs5,B08008_003,2020,2020,tract
Living in a place: Worked outside place of residence,B08008_004,Workers by Place of Work,American Community Survey,acs/acs5,B08008_004,2020,2020,tract
Not living in a place,B08008_005,Workers by Place of Work,American Community Survey,acs/acs5,B08008_005,2020,2020,tract
Total Household By Vehicle available,B08201_001,Vehicles,American Community Survey,acs/acs5,B08201_001,2020,2020,tract
No Vehicle,B08201_002,Vehicles,American Community Survey,acs/acs5,B08201_002,2020,2020,tract
1 Vehicle Available,B08201_003,Vehicles,American Community Survey,acs/acs5,B08201_003,2020,2020,tract
2 Vehicle Available,B08201_004,Vehicles,American Community Survey,acs/acs5,B08201_004,2020,2020,tract
3 Vehicle Available,B08201_005,Vehicles,American Community Survey,acs/acs5,B08201_005,2020,2020,tract
4 or more Vehicle Available,B08201_006,Vehicles,American Community Survey,acs/acs5,B08201_006,2020,2020,tract
Hispanic or Latino,B03002_012,Demographic,American Community Survey,acs/acs5,B03002_012,2020,2020,tract
White (Not Hispanic),B03002_003,Demographic,American Community Survey,acs/acs5,B03002_003,2020,2020,tract
Black or African American (Not Hispanic),B03002_004,Demographic,American Community Survey,acs/acs5,B03002_004,2020,2020,tract
American Indian and Alaska Native (Not Hispanic),B03002_005,Demographic,American Community Survey,acs/acs5,B03002_005,2020,2020,tract
Asian (Not Hispanic),B03002_006,Demographic,American Community Survey,acs/acs5,B03002_006,2020,2020,tract
Native Hawaiian and Other Pacific Islander (Not Hispanic),B03002_007,Demographic,American Community Survey,acs/acs5,B03002_007,2020,2020,tract
Some Other Race (Not Hispanic),B03002_008,Demographic,American Community Survey,acs/acs5,B03002_008,2020,2020,tract
Two or More Races (Not Hispanic),B03002_009,Demographic,American Community Survey,acs/acs5,B03002_009,2020,2020,tract
